,Date,Price,%Chg
0,2017-01-31,100.0,0
1,2017-02-28,100.0,0.00
2,2017-03-31,99.93,-0.07
3,2017-04-30,100.0,0.07
4,2017-05-31,100.16,0.16
5,2017-06-30,100.57,0.41
6,2017-07-31,101.08,0.51
7,2017-08-31,101.44,0.36
8,2017-09-30,101.53,0.09
9,2017-10-31,101.73,0.20
10,2017-11-30,102.23,0.49
11,2017-12-31,102.56,0.32
12,2018-01-31,102.89,0.32
13,2018-02-28,102.87,-0.02
14,2018-03-31,103.15,0.27
15,2018-04-30,103.34,0.18
16,2018-05-31,103.9,0.54
17,2018-06-30,104.24,0.33
18,2018-07-31,104.89,0.62
19,2018-08-31,105.26,0.35
20,2018-09-30,105.65,0.37
21,2018-10-31,105.63,-0.02
22,2018-11-30,106.0,0.35
23,2018-12-31,106.47,0.44
24,2019-01-31,107.18,0.67
25,2019-02-28,107.44,0.24
26,2019-03-31,107.93,0.46
27,2019-04-30,108.41,0.44
28,2019-05-31,109.06,0.60
29,2019-06-30,109.3,0.22
30,2019-07-31,109.6,0.27
31,2019-08-31,110.1,0.46
32,2019-09-30,110.79,0.63
33,2019-10-31,111.24,0.41
34,2019-11-30,111.86,0.56
35,2019-12-31,112.21,0.31
36,2020-01-31,112.86,0.58
37,2020-02-29,113.0,0.12
38,2020-03-31,113.24,0.21
39,2020-04-30,113.08,-0.14
40,2020-05-31,112.96,-0.11
41,2020-06-30,113.37,0.36
42,2020-07-31,113.84,0.41
43,2020-08-31,114.29,0.40
44,2020-09-30,114.69,0.35
45,2020-10-31,115.01,0.28
46,2020-11-30,115.4,0.34
47,2020-12-31,115.79,0.34
48,2021-01-31,116.46,0.58
49,2021-02-28,117.11,0.56
50,2021-03-31,117.35,0.20
51,2021-04-30,118.91,1.33
52,2021-05-31,119.92,0.85
53,2021-06-30,120.15,0.19
54,2021-07-31,120.66,0.42
55,2021-08-31,120.73,0.06
56,2021-09-30,121.02,0.24
57,2021-10-31,121.35,0.27
58,2021-11-30,121.4,0.04
59,2021-12-31,121.36,-0.03
60,2022-01-31,121.48,0.10
61,2022-02-28,121.64,0.13
62,2022-03-31,121.56,-0.07
63,2022-04-30,122.1,0.44
64,2022-05-31,122.57,0.38
65,2022-06-30,122.59,0.02
66,2022-07-31,122.92,0.27
67,2022-08-31,127.0,3.32
68,2022-09-30,129.05,1.61
69,2022-10-31,135.43,4.94
70,2022-11-30,135.81,0.28
71,2022-12-31,136.15,0.25
72,2023-01-31,132.99,-2.32
73,2023-02-28,131.79,-0.90
74,2023-03-31,132.23,0.33
75,2023-04-30,138.25,4.55
76,2023-05-31,141.77,2.55
77,2023-06-30,141.89,0.08
78,2023-07-31,142.82,0.66
79,2023-08-31,143.03,0.15
80,2023-09-30,143.25,0.15
81,2023-10-31,143.84,0.41
82,2023-11-30,145.18,0.93
83,2023-12-31,146.41,0.85
84,2024-01-31,142.89,-2.40
85,2024-02-29,141.02,-1.31
86,2024-03-31,143.78,1.96
87,2024-04-30,146.24,1.71
88,2024-05-31,152.39,4.21
89,2024-06-30,155.06,1.75
90,2024-07-31,161.87,4.39
91,2024-08-31,165.23,2.08
92,2024-09-30,166.88,1.00
93,2024-10-31,172.44,3.33
94,2024-11-30,174.09,0.96
95,2024-12-31,174.46,0.21
96,2025-01-31,171.44,-1.73
97,2025-02-28,171.49,0.03
98,2025-03-31,172.98,0.87
